"tradetype","districtofficecode","districtofficename","countryoforigin","countryoforiginname","countryofdestination","countryofdestinationname","tariff","statisticalunit","transportcode","transportcodedescription","yearmonth","calendaryear","section","sectionanddescription","chapter","chapteranddescription","tariffanddescription","statisticalquantity","customsvalue","worldregion"
"Imports","JSA","O.R. Tambo Int Airport","US","United States","ZA","South Africa","27101147","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101147 - Lubricating grease","449.8","20429","AMERICA"
"Imports","JHB","Johannesburg","DE","Germany","ZA","South Africa","27101147","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101147 - Lubricating grease","34010.6","1788201","EUROPE"
"Imports","GMR","Germiston/Alberton","ZW","Zimbabwe","ZA","South Africa","27040000","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27040000 - Coke And Semi-Coke Of Coal, Of Lignite Or Of Peat, Whether Or Not Agglomerated; Retort Carbon","808250","356323","AFRICA"
"Imports","JHB","Johannesburg","AT","Austria","ZA","South Africa","27101900","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101900 - Other","103.31","9465","EUROPE"
"Imports","JHB","Johannesburg","AT","Austria","ZA","South Africa","27101147","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101147 - Lubricating grease","686.2","110329","EUROPE"
"Imports","GMR","Germiston/Alberton","FR","France","ZA","South Africa","27101900","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101900 - Other","636","13997","EUROPE"
"Imports","JHB","Johannesburg","AE","United Arab Emirates","ZA","South Africa","27101155","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101155 - Base oils for prepared lubricating oil, manufactured by the refining of used oil or other used oil","148000","866551","ASIA"
"Imports","DFM","Cape Town Int Airport","US","United States","ZA","South Africa","27101149","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101149 - Prepared lubricating oils, in containers holding less than 5 li","240","10909","AMERICA"
"Imports","JHB","Johannesburg","GB","United Kingdom","ZA","South Africa","27129010","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27129010 - Paraffin wax","400","9046","EUROPE"
"Imports","JHB","Johannesburg","DE","Germany","ZA","South Africa","27122000","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27122000 - Paraffin Wax Containing By Mass Less Than 0,75 Per Cent Of Oil","50","29520","EUROPE"
"Imports","ELN","East London","DE","Germany","ZA","South Africa","27101152","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101152 - Other prepared lubricating oils","702.33","30326","EUROPE"
"Imports","FBB","Ficksburg Bridge","LS","Lesotho","ZA","South Africa","27050000","KG","03","Road","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27050000 - Coal Gas, Water Gas, Producer Gas And Similar Gases, Other Than Petroleum Gases And Other Gaseous Hydrocarbons","6","2311","AFRICA"
"Imports","JHB","Johannesburg","IN","India","ZA","South Africa","27101147","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101147 - Lubricating grease","14040","198342","ASIA"
"Imports","FBB","Ficksburg Bridge","LS","Lesotho","ZA","South Africa","27101190","KG","03","Road","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101190 - Other","1","864","AFRICA"
"Imports","ELN","East London","NL","Netherlands","ZA","South Africa","27101190","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101190 - Other","74400","577884","EUROPE"
"Imports","JHB","Johannesburg","ES","Spain","ZA","South Africa","27101152","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101152 - Other prepared lubricating oils","501.09","37161","EUROPE"
"Imports","GOL","Golela","SZ","Swaziland","ZA","South Africa","27011100","KG","02","Rail","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27011100 - Anthracite","1841000","1561021","AFRICA"
"Imports","GRB","Groblers Bridge","BW","Botswana","ZA","South Africa","27101152","KG","03","Road","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101152 - Other prepared lubricating oils","5","60","AFRICA"
"Imports","LBA","King Shaka Int Airport","US","United States","ZA","South Africa","27101152","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101152 - Other prepared lubricating oils","2.2","1501","AMERICA"
"Imports","ELN","East London","TW","Taiwan","ZA","South Africa","27101147","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101147 - Lubricating grease","60","1926","ASIA"
"Imports","FBB","Ficksburg Bridge","LS","Lesotho","ZA","South Africa","27011100","KG","03","Road","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27011100 - Anthracite","100","120","AFRICA"
"Imports","FBB","Ficksburg Bridge","LS","Lesotho","ZA","South Africa","27101130","KG","03","Road","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101130 - Distillate fuel, as defined in Additional Note 1 (g)","33000","163350","AFRICA"
"Imports","GOL","Golela","SZ","Swaziland","ZA","South Africa","27011100","KG","03","Road","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27011100 - Anthracite","1390","1072046","AFRICA"
"Imports","ELN","East London","DE","Germany","ZA","South Africa","27101900","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101900 - Other","13891.2","262206","EUROPE"
"Imports","DFM","Cape Town Int Airport","GB","United Kingdom","ZA","South Africa","27129090","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27129090 - Other","100","11529","EUROPE"
"Imports","ELN","East London","CN","China","ZA","South Africa","27129010","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27129010 - Paraffin wax","400000","4864359","ASIA"
"Imports","JHB","Johannesburg","MX","Mexico","ZA","South Africa","27101147","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101147 - Lubricating grease","12","1777","AMERICA"
"Imports","DBN","Durban","TW","Taiwan","ZA","South Africa","27075000","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27075000 - Other Aromatic Hydrocarbon Mixtures Of Which 65 Per Cent Or More By Volume (Including Losses) Distils At 250Â°c By The Astm D 86-Method","15600","180027","ASIA"
"Imports","DBN","Durban","KR","South Korea","ZA","South Africa","27101900","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101900 - Other","27520","332243","ASIA"
"Imports","DBN","Durban","US","United States","ZA","South Africa","27131100","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27131100 - Not Calcined","4572.29","41712","AMERICA"
"Imports","DBN","Durban","US","United States","ZA","South Africa","27129010","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27129010 - Paraffin wax","976","50211","AMERICA"
"Imports","DBN","Durban","US","United States","ZA","South Africa","27109930","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27109930 - Other","4344","100978","AMERICA"
"Imports","DBN","Durban","US","United States","ZA","South Africa","27101152","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101152 - Other prepared lubricating oils","2166","50505","AMERICA"
"Imports","DBN","Durban","US","United States","ZA","South Africa","27101157","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101157 - Other base oils for prepared lubricating oil","38755.41","512868","AMERICA"
"Imports","DBN","Durban","US","United States","ZA","South Africa","27101101","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101101 - Aviation spirit, as defined in Additional Note 1 (a)","2021890","15670812","AMERICA"
"Imports","DBN","Durban","OM","Oman","ZA","South Africa","27101102","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101102 - Petrol, as defined in Additional Note 1(b)","10870210","63538636","ASIA"
"Imports","JSA","O.R. Tambo Int Airport","US","United States","ZA","South Africa","27101152","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101152 - Other prepared lubricating oils","58.14","12325","AMERICA"
